time,S1,S2,C,P0,P1,sconversion,mconversion
0,5,1,1,-1,1.5,2,3
1,4.093653765,2.359519352,1,-0.818730753,1.22809613,2,3
2,3.35160023,3.472599655,1,-0.670320046,1.005480069,2,3
3,2.74405818,4.383912729,1,-0.548811636,0.823217454,2,3
4,2.246644821,5.130032769,1,-0.449328964,0.673993446,2,3
5,1.839397206,5.740904191,1,-0.367879441,0.551819162,2,3
6,1.50597106,6.241043411,1,-0.301194212,0.451791318,2,3
7,1.23298482,6.65052277,1,-0.246596964,0.369895446,2,3
8,1.00948259,6.985776115,1,-0.201896518,0.302844777,2,3
9,0.826494441,7.260258338,1,-0.165298888,0.247948332,2,3
10,0.676676416,7.484985376,1,-0.135335283,0.203002925,2,3
